קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-6852-42310007-750ML,"מנקה ומנטרל ריחות שתן בעלי חיים בניחוח לבנדר, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,19339153
GLG-6852-40320007-400ML,"מנקה ומנטרל ריחות שתן בעלי חיים בניחוח לבנדר, תרסיס 400 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,400ML,בייתי,גרין גלובל,19339126
GLG-R-S07-1KG,שמן אתרי לבנדר,חמרי ניקוי,חמרי ניקוי,רגיל,1KG,,גרין גלובל,19122752
GLG-P-STICKER-DG-LQ,"מדבקה חומ""ס - 10*10מ""מ -LQ, מדבקות בגליל-1000 יח'",חמרי ניקוי,חמרי ניקוי,רגיל,גליל,,גרין גלובל,19108145
GLG-P-RT-STICKER-LQ-10*10,"מדבקה חומ""ס - 10*10מ""מ - LQ",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19065857
GLG-L-SPRAY-BOTTLE-250ML,"בקבוק שטיפה 250 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051935
GLG-L-SPRAY-BOTTLE-ETHANOL-500ML,"בקבוק שטיפה אתנול 500 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051891
GLG-L-SPRAY-BOTTLE-WATER-500ML,"בקבוק שטיפה מים 500 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051822
GLG-L-SPRAY-BOTTLE-IPA-500ML,"בקבוק שטיפה IPA 500 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051644
GLG-L-CYLINDER-C24-100ML,"משורה 100 מ""ל, לטש 24",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051550
GLG-L-CYLINDER-C24-250ML,"משורה 250 מ""ל, לטש 24",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19051468
GLG-R-SODIUM-PERCARBONATE-1KG,"סודיום פרקרבונט מיכל 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,19051347
GLG-R-LACTIC-ACID-L-80%-1KG,"1 ק""ג 80%, חומצה לקטית L",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,19051196
GLG-6819-20100002-5L,"נוזל ניקוי רב תכליתי בניחוח אביב, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,18755181
GLG-R-CC-PHA-75%-22KG,"22 ק""ג חומצה פוספורית 75% במיכל תקני של 35 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,22KG,,תעשיות,18743176
GLG-R-CC-PHA-75%-20KG,"20 ק""ג חומצה פוספורית 75% במיכל תקני של 35 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,20KG,,תעשיות,18743104
GLG-N-6043-99000000-KIT,"ערכה להכנת 100 ק""ג נוזל לניקוי פירות וירקות",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,מוסדי,גרין גלובל,18713994
GLG-N-3999-99000101-KIT,"ערכה להכנת 100 ק""ג נוזל לניקוי וחיטוי משטחים",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,מוסדי,גרין גלובל,18520390
GLG-3999-42310101-750ML,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,18414004
GLG-7139-42340201-750ML,"נוזל כלים בניחוח לימון, בקבוק לחיץ 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,18413873
GLG-7721-41300000-500ML,"נוזל לניקוי משטחים רב-תכליתי, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412160
GLG-7450-42310105-750ML,"נוזל לניקוי והברקת משטחים בניחוח מרענן, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,18412156
GLG-6815-42300305-750ML,"נוזל כביסה בניחוח מרענן, בקבוק 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,18412138
GLG-6329-41310003-500ML,"נוזל לניקוי והסרת כתמים ממוצרי עור מבושם, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412130
GLG-6328-41310005-500ML,"נוזל לניקוי והסרת כתמים מבדים סינטטיים בניחוח מרענן, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412126
GLG-6326-41310004-500ML,"נוזל לניקוי והסרת כתמים מספות בניחוח עדין, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412122
GLG-6325-41310002-500ML,"נוזל לניקוי והסרת כתמים מבגדים בניחוח אביב, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412118
GLG-6044-41310000-500ML,"נוזל לניקוי פירות וירקות, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412104
GLG-3314-41300000-500ML,"מסיר אבנית למכונות קפה, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412094
GLG-3302-41300000-500ML,"מסיר אבנית, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,בייתי,גרין גלובל,18412084
GLG-2102-42300006-750ML,"מרכך כביסה מבושם, בקבוק 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,18412080
GLG-P-C01,"קוביה חדשה IBC, 1000 ליטר, טבעי, על משטח מתכת כולל כלוב וברז",שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,18394562
GLG-3999-40310101-400ML,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, תרסיס 400 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,400ML,מוסדי,גרין גלובל,18247946
GLG-3999-23010101-25L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,18196643
GLG-3999-10000101-200L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, חבית 200 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,200L,מוסדי,גרין גלובל,18196336
GLG-3999-20100101-5L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,18196279
GLG-3999-41310101-500ML,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,מוסדי,גרין גלובל,18177413
GLG-R-CN-ALGOHOL-70%-18L,כהל 70% אתילי מפוגל-18 ליטר לשימוש חיצוני בלבד',חמרי ניקוי,חמרי ניקוי,רגיל,18L,,תעשיות,18104329
GLG-3999-01000101-1000L,"נוזל לניקוי וחיטוי משטחים בניחוח לימון, קובייה 1000 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,1000L,מוסדי,גרין גלובל,18101052
GLG-R-CC-PHA-75%-35KG,"חומצה פוספורית - 75% - 25 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,35KG,,תעשיות,18093622
GLG-2101-23010006-25L,"מרכך כביסה מבושם, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,17882569
GLG-6051-23010402-25L,"מסיר שומנים חזק למטבח בניחוח אביב, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,17881761
GLG-6713-23010002-25L,"תרכיז לניקוי רצפה בניחוח אביב, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,17881744
GLG-6020-10000002-200L,"נוזל רצפה מרוכז בניחוח אביב, חבית 200 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,200L,מוסדי,גרין גלובל,17764028
GLG-P-L34,"פקק נטורל, פוש פול, לנוזל כלים, קוטר ""28",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,17723348
GLG-6813-23010305-25L,"נוזל כביסה מרוכז בניחוח מרענן, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,17383389
GLG-7450-23010105-25L,"נוזל לניקוי והברקת משטחים בניחוח מרענן, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,17383245
GLG-7450-20100105-5L,"נוזל לניקוי והברקת משטחים בניחוח מרענן, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,17383007
GLG-6813-20100305-5L,"נוזל כביסה מרוכז בניחוח מרענן, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,17382703
GLG-P-L30,"פקק נטורל לבקבוקי טליה קוטר ""28",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,16817453
GLG-R-GD-BG-190KG,בוטיל גליקול - חבית,חמרי ניקוי,חמרי ניקוי,רגיל,190KG,,תעשיות,16766319
GLG-P-C42,"בקבוק דגם טליה, 750 מ""ל, לבן אטום, PE, 80% Pcr",שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,16603231
GLG-P-C41,"בקבוק דגם טליה, 500 מ""ל, לבן אטום, PE, 80% Pcr",שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,16603097
GLG-P-C40,"בקבוק דגם טליה, 400 מ""ל, לבן אטום, PE, 80% Pcr",שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,16602961
GLG-3314-50500000-250ML,"מסיר אבנית למכונות קפה, בקבוק 250 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,250ML,בייתי,גרין גלובל,16347267
GLG-7722-42310000-750ML,"נוזל לניקוי ריהוט גן, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,16346614
GLG-6052-42310403-750ML,"מנקה גריל ותנורים מבושם, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,16346489
GLG-3351-42310001-750ML,"מסיר אבנית ממקלחונים ומשטחי זכוכית בניחוח לימון, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,16345875
GLG-P-C10,חבית פלסטיק 200 ליטר סגורה + 2 פקקים בעילית,,כללי -רוטל,רגיל,יחידה,,תעשיות,16260614
GLG-6051-42310402-750ML,"מסיר שומנים חזק למטבח בניחוח אביב, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,בייתי,גרין גלובל,16196678
GLG-8111-23010500-25L,"מנקה מנועים וחדרי מכונה, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,תעשייתי,גרין גלובל,15878162
GLG-R-CN-TSPP-1K,"טטרה סודיום פירו פוספט 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,15791297
GLG-P-CN-IBC-MCAGE-1000L,"קוביה 1000 ליטר חדשה+ברז+כלוב מתכת+משטח פלסטיק+מכסה עם ""נשם תקני""",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,15790681
GLG-R-GD-TEA-99%-225KG,"טריאתנול אמין 99% - חבית 225 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,225KG,,תעשיות,15593687
GLG-N-2101-99000006-KIT,"ערכה להכנת 100 ק""ג מרכך כביסה מבושם",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,מוסדי,גרין גלובל,15549046
GLG-N-6814-99000000-KIT,"ערכה להכנת 100 ק""ג מסיר שומנים לחלקי אלומיניום",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,תעשייתי,גרין גלובל,15548910
GLG-N-6813-99000305-KIT,"ערכה להכנת 100 ק""ג נוזל כביסה מרוכז בניחוח מרענן",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,מוסדי,גרין גלובל,15548829
GLG-N-6002-99000000-KIT,"ערכה להכנת 100 ק""ג מסיר שומנים לציוד חקלאי",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,תעשייתי,גרין גלובל,15548694
GLG-N-6010-99000000-KIT,"ערכה להכנת 100 ק""ג נוזל מרוכז לשטיפת רצפת חדרי מכונה",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,תעשייתי,גרין גלובל,15548453
GLG-N-6020-99000002-KIT,"ערכה להכנת 100 ק""ג נוזל רצפה מרוכז בניחוח אביב",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,מוסדי,גרין גלובל,15548224
GLG-N-3317-99000000-KIT,"ערכה להכנת 100 ק""ג מסיר אבנית ממחליפי חום",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,תעשייתי,גרין גלובל,15532342
GLG-L-ROUND-CONTAINER-PE-1KG,"מיכל עגול פוליאתילן - 1 ק""ג",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,15400103
GLG-L-BEAKER-PP-250ML,'כוס כימית פוליפרופילן - 250 מל,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,15400050
GLG-P-L02,פקק כובע+ברז לג'ריקן 25 ליטר,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,תעשיות,15364846
GLG-R-PV-GLYCERIN-KOSHER-20KG,גליצרין כשר לפסח,חמרי ניקוי,חמרי ניקוי,אצווה,20KG,,גרין גלובל,15358842
GLG-R-SY-B226ENV-180KG,ברול 226 ENV - חבית,חמרי ניקוי,חמרי ניקוי,אצווה,180KG,,גרין גלובל,15105403
GLG-L-CONTAINER-PP-30L,מיכל פלסטיק פוליאתילן 30 מרובע+פקק,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14877560
GLG-P-C11,חבית פח 216 ליטר סגורה + 2 פקקים בעילית,שונות-רוטל,כללי -רוטל,רגיל,יחידה,,תעשיות,14848263
GLG-P-L01,פקק שחור 61 המתאים לג'ריקן 25 ליטר ולג'ריקן 10 ליטר,שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14694565
GLG-N-6818-99000000-KIT,"ערכה להכנת 100 ק""ג נוזל ניקוי רב תכליתי",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,בייתי,גרין גלובל,14658581
GLG-N-6327-99000000-KIT,"ערכה להכנת 100 ק""ג נוזל לניקוי והסרת כתמים מבדים",חמרי ניקוי,חמרי ניקוי,רגיל,KIT,תעשייתי,גרין גלובל,14658374
GLG-P-STICKER-GD-8,"מדבקה חומ""ס - קורוזיבי 10*10 מ""מ",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14574701
GLG-P-STICKER-UN3264,"מדבקה חומ""ס מספר UN ושם שילוח - 3264",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14574559
GLG-L-CONDENSER-330-24,"מקרר כדורי 330 מ""ל, לטש 24",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14536129
GLG-L-ADAPTER-Y-24/24,מעבר Y לטש 24/24,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14507101
GLG-L-SCALE-600/0.01,"מאזניים מעבדתיים 600 ג', דיוק 0.01 ג'",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14506956
GLG-L-MAGNET-OVAL-25X12,מגנט טפלון ביצה 25*12,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505763
GLG-L-WICK-UNIT,פתיל לכהליה - Ea,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505712
GLG-L-VACUUM-ADAPTER-C24,שופר ואקום שני לטשים 24,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505603
GLG-L-PLUG-GLASS-C29,פקק זכוכית לטש 29,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505570
GLG-L-FLASK-THREE-NECK-250ML,"קולבה תלת צווארית 250 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505556
GLG-L-PLUG-GLASS-C24,פקק זכוכית לטש 24,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505535
GLG-L-THERMOMETER-ADAPTER-C24,מעבר למד חום לטש 24+פקק הברגה,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505503
GLG-L-THERMOMETER-M10-150,מד חום כהל מינוס 10 עד 150,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14505432
GLG-7138-20100201-5L,"נוזל כלים בניחוח לימון, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,14492464
GLG-7138-23010201-25L,"נוזל כלים בניחוח לימון, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,14492190
GLG-R-MY-YELLOW-K7164-500G,צבען צהוב K7164-J,חמרי ניקוי,חמרי ניקוי,אצווה,500G,,גרין גלובל,14430922
GLG-R-GD-ETHANOL-210L,אתנול 99%-96% -210 ליטר,חמרי ניקוי,חמרי ניקוי,אצווה,210L,,תעשיות,14399153
GLG-P-C22,מיכל פלסטיק,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,14209469
GLG-R-CN-PHA-85%-20KG,"חומצה זרחתית 85%- 20 ק""ג במיכל כחול תקני",חמרי ניקוי,חמרי ניקוי,אצווה,20KG,,תעשיות,14209309
GLG-R-CN-PHA-85%-25.5KG,"חומצה זרחתית 85%- 25.5 ק""ג במיכל כחול תקני",חמרי ניקוי,חמרי ניקוי,אצווה,25.5KG,,תעשיות,14209272
GLG-6045-20100000-5L,"נוזל לניקוי פירות וירקות, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,תעשייתי,גרין גלובל,14186996
GLG-L-PLATE-STEEL316,"פלטת נירוסטה 316, 10X10 ס""מ",,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,13929973
GLG-R-F-1KG,די לימונן (חבית,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,תעשיות,13922186
GLG-R-GD-BG-1000L,בוטיל גליקול - קוביה,חמרי ניקוי,חמרי ניקוי,אצווה,1000L,,תעשיות,13824443
GLG-L-SCOOP-PP-1000ML,"כף שקילה פלסטיק 1000מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,13788308
GLG-L-GLOVES-NITRILE-S,כפפות ניטריל - S,מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,13788217
GLG-L-WEIGHING-DISH-80X80,"סירת שקילה 80*80 מ""מ",מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,13770488
GLG-L-WEIGHING-DISH-44X44,"סירת שקילה 44*44 מ""מ",מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,13768979
GLG-R-CN-ETHANOL-96%-18L,אתנול 96% - 18 ליטר,מעבדה,חמרי ניקוי,אצווה,18L,,תעשיות,12852110
GLG-R-MY-RED-07004-1KG,צבען אדום 07004,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,12852104
GLG-R-MY-GREEN-W7035-1KG,צבען ירוק W7035,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,12852102
GLG-R-MY-BLUE-05601-1KG,צבען כחול 05601,חמרי ניקוי,חמרי ניקוי,אצווה,1KG,,גרין גלובל,12852100
GLG-L-VIAL-21ML,"וייל פקק לחיץ 21 מ""מ, מגש 162 יחידות",MRC,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12852098
GLG-L-VIAL-10.5ML,"וייל פקק לחיץ 10.5 מ""ל",MRC,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12852096
GLG-L-STIRRER-SHAFT-50CM,"מוט בחישה 50 ס""מ",MRC,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852094
GLG-L-STIRRER-HEAD-NO.24,פרופלור בחישה מרובע חלול -מתכת,MRC,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852092
GLG-L-STIRRER-HEAD-NO.20,פרופלור בחישה מרובע מחורר-מתכת,MRC,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852090
GLG-L-MA-BEAKER-250ML,"כוס זכוכית 250 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852082
GLG-L-MA-AUTOPIPETTE-10ML,"פיפטה אוטומטית 10 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852080
GLG-L-AUTOPIPETTE-0.1-1ML,"פיפטה אוטומטית 1 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852078
GLG-L-MA-AUTOPUPETTE-5ML,"פיפטה אוטומטית 5 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852076
GLG-L-SILICA-GEL-1KG,"ג'סיליקה ג'ל כחול 2 מ""מ - 1 ק""",מעבדה,חמרי ניקוי,רגיל,1KG,,גרין גלובל,12852074
GLG-L-DESICATOR-GLASS-300,דסיקטור זכוכית - 300,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852072
GLG-L-CRYS-DISH-3.5L,קערת גיבוש 3.5 ליטר,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852070
GLG-L-TIP-1-100ML-100,"טיפ לפיפטה 1-10 מ""ל-100 יח'",מעבדה,חמרי ניקוי,רגיל,שקית,,גרין גלובל,12852044
GLG-L-SYRINGE-20ML,"מזרק 20 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852042
GLG-L-SYRINGE-10ML,"מזרק 10 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852040
GLG-R-PROPYLENE-GLYCOL-1L,פרופילן גליקול 1 ליטר,חמרי ניקוי,חמרי ניקוי,אצווה,1L,,גרין גלובל,12852038
GLG-L-SCOOP-PP-50ML,"כף שקילה 50 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852036
GLG-L-SCOOP-PP-25ML,"כף שקילה 25 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852034
GLG-L-POWDER-FUNNEL-S,"משפך אבקות קטן - 65 מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852032
GLG-L-POWDER-FUNNEL-M,"משפך אבקות בינוני - 80 מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852030
GLG-L-POWDER-FUNNEL-L,"משפך אבקות גדול - 100מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852028
GLG-L-PIPETTE-3ML-BOX,פיפטת פלסטיק 3 מל - 109,מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12852026
GLG-L-PH-PAPER-7-14,pH נייר - 7-14,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852024
GLG-L-PH-PAPER-0-6,pH נייר - 0-6,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852022
GLG-L-PH-PAPER-0-14,pH נייר 0-14,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852020
GLG-L-MAGNET-6X30,סטירר מגנטי 6*30,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852018
GLG-L-MAGNET-6X20,סטירר מגנטי 6*20,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852016
GLG-L-GLOVES-NITRILE-M,כפפות ניטריל - M,מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12852014
GLG-L-GLOVES-NITRILE-L,כפפות ניטריל - L,מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12852012
GLG-L-CYLINDER-50ML,"משורה 50 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852010
GLG-L-CYLINDER-500ML,"משורה 500 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852008
GLG-L-CYLINDER-25ML,"משורה 25 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852006
GLG-L-CYLINDER-100ML,"משורה 100 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852004
GLG-L-CORK-RING-80MM,"טבעת שעם - 80 מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852002
GLG-L-CORK-RING-60MM,"טבעת שעם - 60 מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12852000
GLG-R-H-1KG,קרבומר 940,מעבדה,חמרי ניקוי,אצווה,1KG,,גרין גלובל,12851998
GLG-L-BRUSH-S,מברשת ניקוי - S,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851996
GLG-L-BRUSH-M,מברשת ניקוי - M,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851994
GLG-L-BRUSH-L,מברשת ניקוי - L,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851992
GLG-L-BEAKER-GLASS-600ML,"כוס זכוכית - 600 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851990
GLG-L-BEAKER-GLASS-250ML,"כוס זכוכית 250 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851988
GLG-L-BEAKER-GLASS-1L,כוס זכוכית -1  ליטר,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851986
GLG-L-BEAKER-GLASS-100ML,"כוס זכוכית 100 מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,12851984
GLG-L-WOODEN-SPATULA-BOX,מקלות עץ שפדלים,מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,12851982
GLG-R-CN-TEA-85%-5L,טריאתנול אמין 85%,חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,תעשיות,12851665
GLG-R-CN-PHA-85%-35KG,"חומצה זרחתית 85% 35 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,35KG,,תעשיות,12851663
GLG-R-KOH-90%-1KG,"פתיתי KOH 90%- אריזה 1 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,יחידה,,תעשיות,12851661
GLG-R-CN-CA-25KG,"חומצה ציטרית שק 25 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,25KG,,גרין גלובל,12851656
GLG-R-CN-TSC-25KG,"טרי סודיום ציטרט - 25 ק""ג",חמרי ניקוי,חמרי ניקוי,אצווה,25KG,,גרין גלובל,12847912
