קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-6325-23010002-25L,"נוזל לניקוי והסרת כתמים מבגדים בניחוח אביב, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,20090327
GLG-6325-20100002-5L,"נוזל לניקוי והסרת כתמים מבגדים בניחוח אביב, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,20090325
GLG-6324-42310002-750ML,"נוזל לניקוי והסרת כתמים מבדים בניחוח אביב, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090323
GLG-6324-23010002-25L,"נוזל לניקוי והסרת כתמים מבדים בניחוח אביב, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090320
GLG-6324-20100002-5L,"נוזל לניקוי והסרת כתמים מבדים בניחוח אביב, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090318
GLG-6323-42310004-750ML,"נוזל לניקוי והסרת כתמים מספות בניחוח עדין, תרסיס 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,מוסדי,גרין גלובל,20090316
GLG-6323-23010004-25L,"נוזל לניקוי והסרת כתמים מספות בניחוח עדין, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,מוסדי,גרין גלובל,20090313
GLG-6323-20100004-5L,"נוזל לניקוי והסרת כתמים מספות בניחוח עדין, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,מוסדי,גרין גלובל,20090311
GLG-6061-42300400-750ML,"נוזל לניקוי משטחי עבודה בספינות דיג, בקבוק 750 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,750ML,ימי,גרין גלובל,20090309
GLG-6061-41310400-500ML,"נוזל לניקוי משטחי עבודה בספינות דיג, תרסיס 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090307
GLG-6061-23010000-25L,"נוזל לניקוי משטחי עבודה בספינות דיג, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,ימי,גרין גלובל,20090304
GLG-6061-20100000-5L,"נוזל לניקוי משטחי עבודה בספינות דיג, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,ימי,גרין גלובל,20090302
GLG-6060-41300400-500ML,"מסיר שומנים מרוכז, בקבוק 500 מ""ל",חמרי ניקוי,חמרי ניקוי,אצווה,500ML,ימי,גרין גלובל,20090300
